Region,MainIsland,TotalBudget,MedianSavings,AvgDelay,HighDelayPct,EfficiencyScore
National Capital Region,Luzon,37374807552.77,323263.60,274.59,99.87,100.00
Region X,Mindanao,21108791834.06,109843.27,363.88,100.00,25.64
Region VIII,Visayas,18757160567.23,60760.51,261.93,100.00,19.70
Region IX,Mindanao,4292690070.72,49482.39,347.53,100.00,12.09
Region XII,Mindanao,11853038840.21,13911.51,268.97,100.00,4.39
Region II,Luzon,22492433992.21,10000.00,255.12,100.00,3.33
Region IV-B,Luzon,22432789116.38,2886.84,268.40,99.70,0.91
Region III,Luzon,62517911971.79,2244.01,215.60,100.00,0.88
Cordillera Administrative Region,Luzon,14557082197.87,2443.46,241.37,100.00,0.86
Region I,Luzon,24127224108.76,1819.80,229.37,98.62,0.67
Region VI,Visayas,19178049284.75,845.39,313.51,100.00,0.23
Region IV-A,Luzon,34598632463.02,635.76,256.70,99.86,0.21
Region XIII,Mindanao,17957502587.51,202.65,330.64,100.00,0.05
Region V,Luzon,42471531344.45,89.03,236.80,100.00,0.03
Region VII,Visayas,27357359277.05,28.43,250.61,99.79,0.01
Region XI,Mindanao,17878556404.67,0.31,291.57,100.00,0.00
