main_island,region,total_budget,median_savings,avg_delay,delayed_over_30_pct,efficiency_score
Luzon,National Capital Region,37374807552.77,323263.6,274.59,99.87,100.0
Mindanao,Region X,21108791834.06,109843.27,363.88,100.0,25.64
Visayas,Region VIII,18757160567.23,60760.51,261.93,100.0,19.7
Mindanao,Region IX,4292690070.72,49482.39,347.53,100.0,12.09
Mindanao,Region XII,11853038840.21,13911.51,268.97,100.0,4.39
Luzon,Region II,22492433992.21,10000.0,255.12,100.0,3.33
Luzon,Region IV-B,22432789116.38,2886.84,268.4,99.7,0.91
Luzon,Region III,62517911971.79,2244.01,215.6,100.0,0.88
Luzon,Cordillera Administrative Region,14557082197.87,2443.46,241.37,100.0,0.86
Luzon,Region I,24127224108.76,1819.8,229.37,98.62,0.67
Visayas,Region VI,19178049284.75,845.39,313.51,100.0,0.23
Luzon,Region IV-A,34598632463.02,635.76,256.7,99.86,0.21
Mindanao,Region XIII,17957502587.51,202.65,330.64,100.0,0.05
Luzon,Region V,42471531344.45,89.03,236.8,100.0,0.03
Visayas,Region VII,27357359277.05,28.43,250.61,99.79,0.01
Mindanao,Region XI,17878556404.67,0.31,291.57,100.0,0.0
